PassengerId,survived,last,first,middle,m2,m3,m4,m5,m6,,,,,
NA,1,Jacobsohn,Sidney,Samuel,(Amy,Frances,Christy),,,,,,,
NA,0,Jarvis,John,Denzil,,,,,,,,,,
NA,0,Jefferys,Clifford,Thomas,,,,,,,,,,
NA,0,Jefferys,Ernest,Wilfred,,,,,,,,,,
NA,0,Jenkin,Stephen,Curnow,,,,,,,,,,
NA,1,Jerwan,Amin,S,(Marie,Marthe,Thuillard),,,,,,,
NA,0,Kantor,Sinai,,,,,,,,,,,
NA,1,Kantor,Sinai,(Miriam,Sternin),,,,,,,,,
NA,0,Karnes,J,Frank,(Claire,Bennett),,,,,,,,
NA,1,Keane,Nora,A,,,,,,,,,,
NA,0,Keane,Daniel,,,,,,,,,,,
NA,1,Kelly,Florence,Fannie,,,,,,,,,,
NA,0,Kirkland,Charles,Leonard,,,,,,,,,,
NA,0,Knight,Robert,J,,,,,,,,,,
NA,0,Kvillner,Johan,Henrik,Johannesson,,,,,,,,,
NA,0,Lahtinen,William,(Anna,Sylfven),,,,,,,,,
NA,0,Lahtinen,William,,,,,,,,,,,
NA,0,Lamb,John,Joseph,,,,,,,,,,
NA,1,Laroche,Louise,,,,,,,,,,,
NA,1,Laroche,Simonne,Marie,Anne,Andree,,,,,,,,
NA,0,Laroche,Joseph,Philippe,Lemercier,,,,,,,,,
NA,1,Laroche,Joseph,(Juliette,Marie,Louise,Lafargue),,,,,,,
NA,1,Lehmann,Bertha,,,,,,,,,,,
NA,1,Leitch,Jessie,Wills,,,,,,,,,,
NA,1,Lemore,(Amelia,Milley),,,,,,,,,,
NA,0,Levy,Rene,Jacques,,,,,,,,,,
NA,0,Leyson,Robert,William,Norman,,,,,,,,,
NA,0,Lingane,John,,,,,,,,,,,
NA,0,Louch,Charles,Alexander,,,,,,,,,,
NA,1,Louch,Charles,Alexander,(Alice,Adelaide,Slow),,,,,,,
NA,0,Mack,(Mary),,,,,,,,,,,
NA,0,Malachard,Noel,,,,,,,,,,,
NA,1,Mallet,Andre,,,,,,,,,,,
NA,0,Mallet,Albert,,,,,,,,,,,
NA,1,Mallet,Albert,(Antoinette,Magnin),,,,,,,,,
NA,0,Mangiavacchi,Serafino,Emilio,,,,,,,,,,
NA,0,Matthews,William,John,,,,,,,,,,
NA,0,Maybery,Frank,Hubert,,,,,,,,,,
NA,0,McCrae,Arthur,Gordon,,,,,,,,,,
NA,0,McCrie,James,Matthew,,,,,,,,,,
NA,0,McKane,Peter,David,,,,,,,,,,
NA,1,Mellinger,Madeleine,Violet,,,,,,,,,,
NA,1,Mellinger,(Elizabeth,Anne,Maidment),,,,,,,,,
NA,1,Mellors,William,John,,,,,,,,,,
NA,0,Meyer,August,,,,,,,,,,,
NA,0,Milling,Jacob,Christian,,,,,,,,,,
NA,0,Mitchell,Henry,Michael,,,,,,,,,,
NA,0,Montvila,Juozas,,,,,,,,,,,
NA,0,Moraweck,Ernest,,,,,,,,,,,
NA,0,Morley,Henry,Samuel,"(""Mr",Henry,"Marshall"")",,,,,,,
NA,0,Mudd,Thomas,Charles,,,,,,,,,,
NA,0,Myles,Thomas,Francis,,,,,,,,,,
NA,0,Nasser,Nicholas,,,,,,,,,,,
NA,1,Nasser,Nicholas,(Adele,Achem),,,,,,,,,
NA,1,Navratil,Edmond,Roger,,,,,,,,,,
NA,1,Navratil,Michel,M,,,,,,,,,,
NA,0,Navratil,Michel,"(""Louis",M,"Hoffman"")",,,,,,,,
NA,0,Nesson,Israel,,,,,,,,,,,
NA,0,Nicholls,Joseph,Charles,,,,,,,,,,
NA,0,Norman,Robert,Douglas,,,,,,,,,,
NA,1,Nourney,Alfred,"(""Baron",von,"Drachstedt"")",,,,,,,,
NA,1,Nye,(Elizabeth,Ramell),,,,,,,,,,
NA,0,Otter,Richard,,,,,,,,,,,
NA,1,Oxenham,Percy,Thomas,,,,,,,,,,
NA,1,Padro,"Manent,",Mr.,Julian,,,,,,,,,
NA,0,Pain,Alfred,,,,,,,,,,,
NA,1,Pallas,"Castello,",Mr.,Emilio,,,,,,,,,
NA,0,Parker,Clifford,Richard,,,,,,,,,,
NA,0,Parkes,Francis,Frank,,,,,,,,,,
NA,1,Parrish,(Lutie,Davis),,,,,,,,,,
NA,0,Pengelly,Frederick,William,,,,,,,,,,
NA,0,Pernot,Rene,,,,,,,,,,,
NA,0,Peruschitz,Joseph,Maria,,,,,,,,,,
NA,1,Phillips,Alice,Frances,Louisa,,,,,,,,,
NA,1,Phillips,Kate,Florence,"(""Mrs",Kate,Louise,Phillips,Phillips,,,,,
NA,0,Phillips,Escott,Robert,,,,,,,,,,
NA,1,Pinsky,(Rosa),,,,,,,,,,,
NA,0,Ponesell,Martin,,,,,,,,,,,
NA,1,Portaluppi,Emilio,Ilario,Giuseppe,,,,,,,,,
NA,0,Pulbaum,Franz,,,,,,,,,,,
NA,1,Quick,Phyllis,May,,,,,,,,,,
NA,1,Quick,Winifred,Vera,,,,,,,,,,
NA,1,Quick,Frederick,Charles,(Jane,Richards),,,,,,,,
NA,0,Reeves,David,,,,,,,,,,,
NA,0,Renouf,Peter,Henry,,,,,,,,,,
NA,1,Renouf,Peter,Henry,(Lillian,Jefferys),,,,,,,,
NA,1,Reynaldo,Encarnacion,,,,,,,,,,,
NA,0,Richard,Emile,,,,,,,,,,,
NA,1,Richards,George,Sibley,,,,,,,,,,
NA,1,Richards,William,Rowe,,,,,,,,,,
NA,1,Richards,Sidney,(Emily,Hocking),,,,,,,,,
NA,1,Ridsdale,Lucy,,,,,,,,,,,
NA,0,Rogers,Reginald,Harry,,,,,,,,,,
NA,1,Rugg,Emily,,,,,,,,,,,
NA,0,Schmidt,August,,,,,,,,,,,
NA,0,Sedgwick,Charles,Frederick,Waddington,,,,,,,,,
NA,0,Sharp,Percival,James,R,,,,,,,,,
NA,1,Shelley,William,(Imanita,Parrish,Hall),,,,,,,,
NA,1,Silven,Lyyli,Karoliina,,,,,,,,,,
NA,1,Sincock,Maude,,,,,,,,,,,
NA,1,Sinkkonen,Anna,,,,,,,,,,,
NA,0,Sjostedt,Ernst,Adolf,,,,,,,,,,
NA,1,Slayter,Hilda,Mary,,,,,,,,,,
NA,0,Slemen,Richard,James,,,,,,,,,,
NA,1,Smith,Marion,Elsie,,,,,,,,,,
NA,0,Sobey,Samuel,James,Hayden,,,,,,,,,
NA,0,Stanton,Samuel,Ward,,,,,,,,,,
NA,0,Stokes,Philip,Joseph,,,,,,,,,,
NA,0,Swane,George,,,,,,,,,,,
NA,0,Sweet,George,Frederick,,,,,,,,,,
NA,1,Toomey,Ellen,,,,,,,,,,,
NA,0,Troupiansky,Moses,Aaron,,,,,,,,,,
NA,1,Trout,William,H,(Jessie,L),,,,,,,,
NA,1,Troutt,Edwina,Celia,Winnie,,,,,,,,,
NA,0,Turpin,William,John,Robert,,,,,,,,,
NA,0,Turpin,William,John,Robert,(Dorothy,Ann,Wonnacott),Wonnacott),,,,,
NA,0,Veal,James,,,,,,,,,,,
NA,1,Walcroft,Nellie,,,,,,,,,,,
NA,0,Ware,John,James,,,,,,,,,,
NA,0,Ware,William,Jeffery,,,,,,,,,,
NA,1,Ware,John,James,(Florence,Louise,Long),,,,,,,
NA,0,Watson,Ennis,Hastings,,,,,,,,,,
NA,1,Watt,Bertha,J,,,,,,,,,,
NA,1,Watt,James,(Elizabeth,Bessie,Inglis,Milne),,,,,,,
NA,1,Webber,Susan,,,,,,,,,,,
NA,0,Weisz,Leopold,,,,,,,,,,,
NA,1,Weisz,Leopold,(Mathilde,Francoise,Pede),,,,,,,,
NA,1,Wells,Ralph,Lester,,,,,,,,,,
NA,1,Wells,Joan,,,,,,,,,,,
NA,1,Wells,Arthur,Henry,"(""Addie""",Dart,Trevaskis),,,,,,,
NA,1,West,Barbara,J,,,,,,,,,,
NA,1,West,Constance,Mirium,,,,,,,,,,
NA,0,West,Edwy,Arthur,,,,,,,,,,
NA,1,West,Edwy,Arthur,(Ada,Mary,Worth),,,,,,,
NA,0,Wheadon,Edward,H,,,,,,,,,,
NA,0,Wheeler,Edwin,Frederick,,,,,,,,,,
NA,1,Wilhelms,Charles,,,,,,,,,,,
NA,1,Williams,Charles,Eugene,,,,,,,,,,
NA,1,Wright,Marion,,,,,,,,,,,
NA,0,Yrois,Henriette,"(""Mrs","Harbeck"")",,,,,,,,,
NA,0,Abbing,Anthony,,,,,,,,,,,
NA,0,Abbott,Eugene,Joseph,,,,,,,,,,
NA,0,Abbott,Rossmore,Edward,,,,,,,,,,
NA,1,Abbott,Stanton,(Rosa,Hunt),,,,,,,,,
NA,1,Abelseth,Karen,Marie,,,,,,,,,,
NA,1,Abelseth,Olaus,Jorgensen,,,,,,,,,,
NA,1,Abrahamsson,Abraham,August,Johannes,,,,,,,,,
NA,1,Abrahim,Joseph,(Sophie,Halaut,Easu),,,,,,,,
NA,0,Adahl,Mauritz,Nils,Martin,,,,,,,,,
NA,0,Adams,John,,,,,,,,,,,
NA,0,Ahlin,Johan,(Johanna,Persdotter,Larsson),,,,,,,,
NA,1,Aks,Philip,Frank,,,,,,,,,,
NA,1,Aks,Sam,(Leah,Rosen),,,,,,,,,
NA,1,Albimona,Nassef,Cassem,,,,,,,,,,
NA,0,Alexander,William,,,,,,,,,,,
NA,0,Alhomaki,Ilmari,Rudolf,,,,,,,,,,
NA,0,Ali,Ahmed,,,,,,,,,,,
NA,0,Ali,William,,,,,,,,,,,
NA,0,Allen,William,Henry,,,,,,,,,,
NA,0,Allum,Owen,George,,,,,,,,,,
NA,0,Andersen,Albert,Karvin,,,,,,,,,,
NA,1,Andersen-Jensen,Carla,Christine,Nielsine,,,,,,,,,
NA,0,Andersson,Sigvard,Harald,Elias,,,,,,,,,
NA,0,Andersson,Ebba,Iris,Alfrida,,,,,,,,,
NA,0,Andersson,Ellis,Anna,Maria,,,,,,,,,
NA,1,Andersson,Erna,Alexandra,,,,,,,,,,
NA,0,Andersson,Ida,Augusta,Margareta,,,,,,,,,
NA,0,Andersson,Ingeborg,Constanzia,,,,,,,,,,
NA,0,Andersson,Sigrid,Elisabeth,,,,,,,,,,
NA,0,Andersson,Anders,Johan,,,,,,,,,,
NA,1,Andersson,August,Edvard,"(""Wennerstrom"")",,,,,,,,,
NA,0,Andersson,Johan,Samuel,,,,,,,,,,
NA,0,Andersson,Anders,Johan,(Alfrida,Konstantia,Brogren),,,,,,,
NA,0,Andreasson,Paul,Edvin,,,,,,,,,,
NA,0,Angheloff,Minko,,,,,,,,,,,
NA,0,Arnold-Franchi,Josef,,,,,,,,,,,
NA,0,Arnold-Franchi,Josef,(Josefine,Franchi),,,,,,,,,
NA,0,Aronsson,Ernst,Axel,Algot,,,,,,,,,
NA,0,Asim,Adola,,,,,,,,,,,
NA,0,Asplund,Carl,Edgar,,,,,,,,,,
NA,0,Asplund,Clarence,Gustaf,Hugo,,,,,,,,,
NA,1,Asplund,Edvin,Rojj,Felix,,,,,,,,,
NA,0,Asplund,Filip,Oscar,,,,,,,,,,
NA,1,Asplund,Lillian,Gertrud,,,,,,,,,,
NA,0,Asplund,Carl,Oscar,Vilhelm,Gustafsson,,,,,,,,
NA,1,Asplund,Johan,Charles,,,,,,,,,,
NA,1,Asplund,Carl,Oscar,(Selma,Augusta,Emilia,Johansson),Johansson),,,,,
NA,1,Assaf,Mrs.,Mariana,"(""Miriam"")",,,,,,,,,
NA,0,Assaf,Gerios,,,,,,,,,,,
NA,0,Assam,Ali,,,,,,,,,,,
NA,0,Attalah,Malake,,,,,,,,,,,
NA,0,Attalah,Sleiman,,,,,,,,,,,
NA,0,Augustsson,Albert,,,,,,,,,,,
NA,1,Ayoub,Banoura,,,,,,,,,,,
NA,0,Baccos,Raffull,,,,,,,,,,,
NA,0,Backstrom,Karl,Alfred,,,,,,,,,,
NA,1,Backstrom,Karl,Alfred,(Maria,Mathilda,Gustafsson),,,,,,,
NA,1,Baclini,Eugenie,,,,,,,,,,,
NA,1,Baclini,Helene,Barbara,,,,,,,,,,
NA,1,Baclini,Marie,Catherine,,,,,,,,,,
NA,1,Baclini,Solomon,(Latifa,Qurban),,,,,,,,,
NA,1,Badman,Emily,Louisa,,,,,,,,,,
NA,0,Badt,Mohamed,,,,,,,,,,,
NA,0,Balkic,Cerin,,,,,,,,,,,
NA,1,Barah,Hanna,Assi,,,,,,,,,,
NA,0,Barbara,Saiide,,,,,,,,,,,
NA,0,Barbara,(Catherine,David),,,,,,,,,,
NA,0,Barry,Julia,,,,,,,,,,,
NA,0,Barton,David,John,,,,,,,,,,
NA,0,Beavan,William,Thomas,,,,,,,,,,
NA,0,Bengtsson,John,Viktor,,,,,,,,,,
NA,0,Berglund,Karl,Ivar,Sven,,,,,,,,,
NA,0,Betros,Seman,,,,,,,,,,,
NA,0,Betros,Tannous,,,,,,,,,,,
NA,1,Bing,Lee,,,,,,,,,,,
NA,0,Birkeland,Hans,Martin,Monsen,,,,,,,,,
NA,0,Bjorklund,Ernst,Herbert,,,,,,,,,,
NA,0,Bostandyeff,Guentcho,,,,,,,,,,,
NA,0,Boulos,Akar,,,,,,,,,,,
NA,0,Boulos,Nourelain,,,,,,,,,,,
NA,0,Boulos,Hanna,,,,,,,,,,,
NA,0,Boulos,Joseph,(Sultana),,,,,,,,,,
NA,0,Bourke,Mary,,,,,,,,,,,
NA,0,Bourke,John,,,,,,,,,,,
NA,0,Bourke,John,(Catherine),,,,,,,,,,
NA,0,Bowen,David,John,Dai,,,,,,,,,
NA,1,Bradley,Bridget,Delia,,,,,,,,,,
NA,0,Braf,Elin,Ester,Maria,,,,,,,,,
NA,0,Braund,Lewis,Richard,,,,,,,,,,
NA,0,Braund,Owen,Harris,,,,,,,,,,
NA,0,Brobeck,Karl,Rudolf,,,,,,,,,,
NA,0,Brocklebank,William,Alfred,,,,,,,,,,
NA,0,Buckley,Katherine,,,,,,,,,,,
NA,1,Buckley,Daniel,,,,,,,,,,,
NA,0,Burke,Jeremiah,,,,,,,,,,,
NA,0,Burns,Mary,Delia,,,,,,,,,,
NA,0,Cacic,Manda,,,,,,,,,,,
NA,0,Cacic,Marija,,,,,,,,,,,
NA,0,Cacic,Jego,Grga,,,,,,,,,,
NA,0,Cacic,Luka,,,,,,,,,,,
NA,0,Calic,Jovo,,,,,,,,,,,
NA,0,Calic,Petar,,,,,,,,,,,
NA,0,Canavan,Mary,,,,,,,,,,,
NA,0,Canavan,Patrick,,,,,,,,,,,
NA,0,Cann,Ernest,Charles,,,,,,,,,,
NA,0,Caram,Joseph,,,,,,,,,,,
NA,0,Caram,Joseph,(Maria,Elias),,,,,,,,,
NA,0,Carlsson,August,Sigfrid,,,,,,,,,,
NA,0,Carlsson,Carl,Robert,,,,,,,,,,
NA,1,Carr,Helen,Ellen,,,,,,,,,,
NA,0,Carr,Jeannie,,,,,,,,,,,
NA,0,Carver,Alfred,John,,,,,,,,,,
NA,0,Celotti,Francesco,,,,,,,,,,,
NA,0,Charters,David,,,,,,,,,,,
NA,1,Chip,Chang,,,,,,,,,,,
NA,0,Christmann,Emil,,,,,,,,,,,
NA,0,Chronopoulos,Apostolos,,,,,,,,,,,
NA,0,Chronopoulos,Demetrios,,,,,,,,,,,
NA,0,Coelho,Domingos,Fernandeo,,,,,,,,,,
NA,1,Cohen,Gurshon,Gus,,,,,,,,,,
NA,0,Colbert,Patrick,,,,,,,,,,,
NA,0,Coleff,Peju,,,,,,,,,,,
NA,0,Coleff,Satio,,,,,,,,,,,
NA,0,Conlon,Thomas,Henry,,,,,,,,,,
NA,0,Connaghton,Michael,,,,,,,,,,,
NA,1,Connolly,Kate,,,,,,,,,,,
NA,0,Connolly,Kate,,,,,,,,,,,
NA,0,Connors,Patrick,,,,,,,,,,,
NA,0,Cook,Jacob,,,,,,,,,,,
NA,0,Cor,Bartol,,,,,,,,,,,
NA,0,Cor,Ivan,,,,,,,,,,,
NA,0,Cor,Liudevit,,,,,,,,,,,
NA,0,Corn,Harry,,,,,,,,,,,
NA,1,Coutts,Eden,Leslie,Neville,,,,,,,,,
NA,1,Coutts,William,Loch,William,,,,,,,,,
NA,1,Coutts,William,(Winnie,Minnie,Treanor),,,,,,,,
NA,0,Coxon,Daniel,,,,,,,,,,,
NA,0,Crease,Ernest,James,,,,,,,,,,
NA,1,Cribb,Laura,Alice,,,,,,,,,,
NA,0,Cribb,John,Hatfield,,,,,,,,,,
NA,0,Culumovic,Jeso,,,,,,,,,,,
NA,0,Daher,Shedid,,,,,,,,,,,
NA,1,Dahl,Karl,Edwart,,,,,,,,,,
NA,0,Dahlberg,Gerda,Ulrika,,,,,,,,,,
NA,0,Dakic,Branko,,,,,,,,,,,
NA,1,Daly,Margaret,Marcella,Maggie,,,,,,,,,
NA,1,Daly,Eugene,Patrick,,,,,,,,,,
NA,0,Danbom,Gilbert,Sigvard,Emanuel,,,,,,,,,
NA,0,Danbom,Ernst,Gilbert,,,,,,,,,,
NA,0,Danbom,Ernst,Gilbert,(Anna,Sigrid,Maria,Brogren),Brogren),,,,,
NA,0,Danoff,Yoto,,,,,,,,,,,
NA,0,Dantcheff,Ristiu,,,,,,,,,,,
NA,0,Davies,Alfred,J,,,,,,,,,,
NA,0,Davies,Evan,,,,,,,,,,,
NA,0,Davies,John,Samuel,,,,,,,,,,
NA,0,Davies,Joseph,,,,,,,,,,,
NA,0,Davison,Thomas,Henry,,,,,,,,,,
NA,1,Davison,Thomas,Henry,(Mary,E,Finck),,,,,,,
NA,1,de,Mr.,Guillaume,Joseph,,,,,,,,,
NA,1,de,Mrs.,Guillaume,Joseph,(Emma),,,,,,,,
NA,1,de,Mr.,Theodore,,,,,,,,,,
NA,0,de,Mr.,Alfons,,,,,,,,,,
NA,1,Dean,Bertram,Vere,,,,,,,,,,
NA,1,Dean,Elizabeth,Gladys,Millvina,,,,,,,,,
NA,0,Dean,Bertram,Frank,,,,,,,,,,
NA,1,Dean,Bertram,(Eva,Georgetta,Light),,,,,,,,
NA,0,Delalic,Redjo,,,,,,,,,,,
NA,0,Demetri,Marinko,,,,,,,,,,,
NA,0,Denkoff,Mitto,,,,,,,,,,,
NA,0,Dennis,Samuel,,,,,,,,,,,
NA,0,Dennis,William,,,,,,,,,,,
NA,1,Devaney,Margaret,Delia,,,,,,,,,,
NA,0,Dika,Mirko,,,,,,,,,,,
NA,0,Dimic,Jovan,,,,,,,,,,,
NA,0,Dintcheff,Valtcho,,,,,,,,,,,
NA,0,Doharr,Tannous,,,,,,,,,,,
NA,0,Dooley,Patrick,,,,,,,,,,,
NA,1,Dorking,Edward,Arthur,,,,,,,,,,
NA,1,Dowdell,Elizabeth,,,,,,,,,,,
NA,0,Doyle,Elizabeth,,,,,,,,,,,
NA,1,Drapkin,Jennie,,,,,,,,,,,
NA,0,Drazenoic,Jozef,,,,,,,,,,,
NA,0,Duane,Frank,,,,,,,,,,,
NA,1,Duquemin,Joseph,,,,,,,,,,,
NA,0,Dyker,Adolf,Fredrik,,,,,,,,,,
NA,1,Dyker,Adolf,Fredrik,(Anna,Elisabeth,Judith,Andersson),Andersson),,,,,
NA,0,Edvardsson,Gustaf,Hjalmar,,,,,,,,,,
NA,0,Eklund,Hans,Linus,,,,,,,,,,
NA,0,Ekstrom,Johan,,,,,,,,,,,
NA,0,Elias,Dibo,,,,,,,,,,,
NA,0,Elias,Joseph,,,,,,,,,,,
NA,0,Elias,Joseph,Jr,,,,,,,,,,
NA,0,Elias,Tannous,,,,,,,,,,,
NA,0,Elsbury,William,James,,,,,,,,,,
NA,1,Emanuel,Virginia,Ethel,,,,,,,,,,
NA,0,Emir,Farred,Chehab,,,,,,,,,,
NA,0,Everett,Thomas,James,,,,,,,,,,
NA,0,Farrell,James,,,,,,,,,,,
NA,1,Finoli,Luigi,,,,,,,,,,,
NA,0,Fischer,Eberhard,Thelander,,,,,,,,,,
NA,0,Fleming,Honora,,,,,,,,,,,
NA,0,Flynn,James,,,,,,,,,,,
NA,0,Flynn,John,,,,,,,,,,,
NA,0,Foley,Joseph,,,,,,,,,,,
NA,0,Foley,William,,,,,,,,,,,
NA,1,Foo,Choong,,,,,,,,,,,
NA,0,Ford,Doolina,Margaret,Daisy,,,,,,,,,
NA,0,Ford,Robina,Maggie,Ruby,,,,,,,,,
NA,0,Ford,Arthur,,,,,,,,,,,
NA,0,Ford,Edward,Watson,,,,,,,,,,
NA,0,Ford,William,Neal,,,,,,,,,,
NA,0,Ford,Edward,(Margaret,Ann,Watson),,,,,,,,
NA,0,Fox,Patrick,,,,,,,,,,,
NA,0,Franklin,Charles,(Charles,Fardon),,,,,,,,,
NA,0,Gallagher,Martin,,,,,,,,,,,
NA,0,Garfirth,John,,,,,,,,,,,
NA,0,Gheorgheff,Stanio,,,,,,,,,,,
NA,0,Gilinski,Eliezer,,,,,,,,,,,
NA,1,Gilnagh,Katherine,Katie,,,,,,,,,,
NA,1,Glynn,Mary,Agatha,,,,,,,,,,
NA,1,Goldsmith,Frank,John,William,Frankie,,,,,,,,
NA,0,Goldsmith,Frank,John,,,,,,,,,,
NA,0,Goldsmith,Nathan,,,,,,,,,,,
NA,1,Goldsmith,Frank,John,(Emily,Alice,Brown),,,,,,,
NA,0,Goncalves,Manuel,Estanslas,,,,,,,,,,
NA,0,Goodwin,Harold,Victor,,,,,,,,,,
NA,0,Goodwin,Sidney,Leonard,,,,,,,,,,
NA,0,Goodwin,William,Frederick,,,,,,,,,,
NA,0,Goodwin,Jessie,Allis,,,,,,,,,,
NA,0,Goodwin,Lillian,Amy,,,,,,,,,,
NA,0,Goodwin,Charles,Edward,,,,,,,,,,
NA,0,Goodwin,Charles,Frederick,,,,,,,,,,
NA,0,Goodwin,Frederick,(Augusta,Tyler),,,,,,,,,
NA,0,Green,George,Henry,,,,,,,,,,
NA,0,Gronnestad,Daniel,Danielsen,,,,,,,,,,
NA,0,Guest,Robert,,,,,,,,,,,
NA,0,Gustafsson,Alfred,Ossian,,,,,,,,,,
NA,0,Gustafsson,Anders,Vilhelm,,,,,,,,,,
NA,0,Gustafsson,Johan,Birger,,,,,,,,,,
NA,0,Gustafsson,Karl,Gideon,,,,,,,,,,
NA,0,Haas,Aloisia,,,,,,,,,,,
NA,0,Hagardon,Kate,,,,,,,,,,,
NA,0,Hagland,Ingvald,Olai,Olsen,,,,,,,,,
NA,0,Hagland,Konrad,Mathias,Reiersen,,,,,,,,,
NA,0,Hakkarainen,Pekka,Pietari,,,,,,,,,,
NA,1,Hakkarainen,Pekka,Pietari,(Elin,Matilda,Dolck),,,,,,,
NA,0,Hampe,Leon,,,,,,,,,,,
NA,0,Hanna,Mansour,,,,,,,,,,,
NA,0,Hansen,Claus,Peter,,,,,,,,,,
NA,0,Hansen,Henrik,Juul,,,,,,,,,,
NA,0,Hansen,Henry,Damsgaard,,,,,,,,,,
NA,1,Hansen,Claus,Peter,(Jennie,L,Howard),,,,,,,
NA,0,Harknett,Alice,Phoebe,,,,,,,,,,
NA,0,Harmer,Abraham,(David,Lishin),,,,,,,,,
NA,0,Hart,Henry,,,,,,,,,,,
NA,0,Hassan,Houssein,G,N,,,,,,,,,
NA,1,Healy,Hanora,Nora,,,,,,,,,,
NA,1,Hedman,Oskar,Arvid,,,,,,,,,,
NA,1,Hee,Ling,,,,,,,,,,,
NA,0,Hegarty,Hanora,Nora,,,,,,,,,,
NA,1,Heikkinen,Laina,,,,,,,,,,,
NA,0,Heininen,Wendla,Maria,,,,,,,,,,
NA,1,Hellstrom,Hilda,Maria,,,,,,,,,,
NA,0,Hendekovic,Ignjac,,,,,,,,,,,
NA,0,Henriksson,Jenny,Lovisa,,,,,,,,,,
NA,0,Henry,Delia,,,,,,,,,,,
NA,1,Hirvonen,Hildur,E,,,,,,,,,,
NA,1,Hirvonen,Alexander,(Helga,E,Lindqvist),,,,,,,,
NA,0,Holm,John,Fredrik,Alexander,,,,,,,,,
NA,0,Holthen,Johan,Martin,,,,,,,,,,
NA,1,Honkanen,Eliina,,,,,,,,,,,
NA,0,Horgan,John,,,,,,,,,,,
NA,1,Howard,May,Elizabeth,,,,,,,,,,
NA,0,Humblen,Adolf,Mathias,Nicolai,Olsen,,,,,,,,
NA,1,Hyman,Abraham,,,,,,,,,,,
NA,0,Ibrahim,Mr.,Yousseff,,,,,,,,,,
NA,0,Ilieff,Ylio,,,,,,,,,,,
NA,0,Ilmakangas,Ida,Livija,,,,,,,,,,
NA,0,Ilmakangas,Pieta,Sofia,,,,,,,,,,
NA,0,Ivanoff,Kanio,,,,,,,,,,,
NA,1,Jalsevac,Ivan,,,,,,,,,,,
NA,1,Jansson,Carl,Olof,,,,,,,,,,
NA,0,Jardin,Jose,Neto,,,,,,,,,,
NA,0,Jensen,Hans,Peder,,,,,,,,,,
NA,0,Jensen,Niels,Peder,,,,,,,,,,
NA,0,Jensen,Svend,Lauritz,,,,,,,,,,
NA,1,Jermyn,Annie,,,,,,,,,,,
NA,1,Johannesen-Bratthammer,Bernt,,,,,,,,,,,
NA,0,Johanson,Jakob,Alfred,,,,,,,,,,
NA,1,Johansson,Mr.,Oskar,Leander,,,,,,,,,
NA,0,Johansson,Erik,,,,,,,,,,,
NA,0,Johansson,Gustaf,Joel,,,,,,,,,,
NA,0,Johansson,Karl,Johan,,,,,,,,,,
NA,0,Johansson,Nils,,,,,,,,,,,
NA,1,Johnson,Harold,Theodor,,,,,,,,,,
NA,1,Johnson,Eleanor,Ileen,,,,,,,,,,
NA,0,Johnson,Alfred,,,,,,,,,,,
NA,0,Johnson,Malkolm,Joackim,,,,,,,,,,
NA,0,Johnson,William,Cahoone,Jr,,,,,,,,,
NA,1,Johnson,Oscar,W,(Elisabeth,Vilhelmina,Berg),,,,,,,
NA,0,Johnston,William,Arthur,Willie,,,,,,,,,
NA,0,Johnston,Catherine,Helen,Carrie,,,,,,,,,
NA,0,Johnston,Andrew,G,,,,,,,,,,
NA,0,Johnston,Andrew,G,(Elizabeth,Lily,Watson),,,,,,,
NA,0,Jonkoff,Lalio,,,,,,,,,,,
NA,1,Jonsson,Carl,,,,,,,,,,,
NA,0,Jonsson,Nils,Hilding,,,,,,,,,,
NA,0,Jussila,Katriina,,,,,,,,,,,
NA,0,Jussila,Mari,Aina,,,,,,,,,,
NA,1,Jussila,Eiriik,,,,,,,,,,,
NA,0,Kallio,Nikolai,Erland,,,,,,,,,,
NA,0,Kalvik,Johannes,Halvorsen,,,,,,,,,,
NA,0,Karaic,Milan,,,,,,,,,,,
NA,1,Karlsson,Einar,Gervasius,,,,,,,,,,
NA,0,Karlsson,Julius,Konrad,Eugen,,,,,,,,,
NA,0,Karlsson,Nils,August,,,,,,,,,,
NA,1,Karun,Manca,,,,,,,,,,,
NA,1,Karun,Franz,,,,,,,,,,,
NA,0,Kassem,Fared,,,,,,,,,,,
NA,0,Katavelas,Vassilios,"(""Catavelas","Vassilios"")",,,,,,,,,
NA,0,Keane,Andrew,Andy,,,,,,,,,,
NA,0,Keefe,Arthur,,,,,,,,,,,
NA,1,Kelly,Anna,Katherine,Annie Kate,,,,,,,,,
NA,1,Kelly,Mary,,,,,,,,,,,
NA,0,Kelly,James,,,,,,,,,,,
NA,0,Kelly,James,,,,,,,,,,,
NA,1,Kennedy,John,,,,,,,,,,,
NA,0,Khalil,Betros,,,,,,,,,,,
NA,0,Khalil,Betros,(Zahie,Maria,Elias),,,,,,,,
NA,0,Kiernan,John,,,,,,,,,,,
NA,0,Kiernan,Philip,,,,,,,,,,,
NA,0,Kilgannon,Thomas,J,,,,,,,,,,
NA,0,Kink,Maria,,,,,,,,,,,
NA,0,Kink,Vincenz,,,,,,,,,,,
NA,1,Kink-Heilmann,Luise,Gretchen,,,,,,,,,,
NA,1,Kink-Heilmann,Anton,,,,,,,,,,,
NA,1,Kink-Heilmann,Anton,(Luise,Heilmann),,,,,,,,,
